cadence,period_start,period_end,account_id,public_id,name,email,role,user_role,department,groups,user_status,created_or_invited_date,is_active,first_day_active_in_period,last_day_active_in_period,messages,messages_rank,model_to_messages,gpt_messages,gpts_messaged,gpt_to_messages,tool_messages,tools_messaged,tool_to_messages,project_messages,projects_messaged,project_to_messages,projects_created,last_day_active
Weekly,2025-05-01,2025-05-07,test123,user-001,Alice Johnson,alice.johnson@example.com,team_member,standard-user,"[""finance""]",{},enabled,2025-01-01,1,2025-05-02,2025-05-07,50,1,{},3,1,{},27,2,{},7,1,{},0,2025-05-07
Weekly,2025-05-01,2025-05-07,test123,user-002,Bob Smith,bob.smith@example.com,team_member,standard-user,"[""IT""]",{},enabled,2025-01-01,1,2025-05-01,2025-05-06,70,2,{},5,1,{},35,1,{},10,0,{},0,2025-05-06
Weekly,2025-05-01,2025-05-07,test123,user-003,Carol White,carol.white@example.com,team_member,standard-user,"[""marketing""]",{},enabled,2025-02-01,1,2025-05-03,2025-05-07,35,3,{},2,0,{},15,1,{},5,1,{},0,2025-05-07
Weekly,2025-05-01,2025-05-07,test123,user-004,David Brown,david.brown@example.com,team_member,standard-user,"[""sales""]",{},enabled,2025-01-15,1,2025-05-01,2025-05-07,60,4,{},7,2,{},30,2,{},8,1,{},0,2025-05-07
Weekly,2025-05-01,2025-05-07,test123,user-005,Emma Davis,emma.davis@example.com,team_member,standard-user,"[""HR""]",{},enabled,2025-03-01,1,2025-05-05,2025-05-07,40,5,{},3,1,{},20,1,{},6,0,{},0,2025-05-07
Weekly,2025-05-08,2025-05-14,test123,user-001,Alice Johnson,alice.johnson@example.com,team_member,standard-user,"[""finance""]",{},enabled,2025-01-01,1,2025-05-08,2025-05-14,50,1,{},3,1,{},27,1,{},7,0,{},0,2025-05-14
Weekly,2025-05-08,2025-05-14,test123,user-002,Bob Smith,bob.smith@example.com,team_member,standard-user,"[""IT""]",{},enabled,2025-01-01,1,2025-05-08,2025-05-14,65,2,{},5,0,{},32,1,{},10,0,{},0,2025-05-14
Weekly,2025-05-08,2025-05-14,test123,user-003,Carol White,carol.white@example.com,team_member,standard-user,"[""marketing""]",{},enabled,2025-02-01,1,2025-05-08,2025-05-14,33,3,{},2,0,{},13,0,{},5,0,{},0,2025-05-14
Weekly,2025-05-08,2025-05-14,test123,user-004,David Brown,david.brown@example.com,team_member,standard-user,"[""sales""]",{},enabled,2025-01-15,1,2025-05-08,2025-05-14,58,4,{},7,1,{},30,2,{},8,1,{},0,2025-05-14
Weekly,2025-05-08,2025-05-14,test123,user-005,Emma Davis,emma.davis@example.com,team_member,standard-user,"[""HR""]",{},enabled,2025-03-01,1,2025-05-08,2025-05-14,42,5,{},3,0,{},20,1,{},6,0,{},0,2025-05-14
Weekly,2025-05-15,2025-05-21,test123,user-001,Alice Johnson,alice.johnson@example.com,team_member,standard-user,"[""finance""]",{},enabled,2025-01-01,1,2025-05-15,2025-05-21,25,1,{},2,0,{},13,0,{},3,0,{},0,2025-05-21
Weekly,2025-05-15,2025-05-21,test123,user-002,Bob Smith,bob.smith@example.com,team_member,standard-user,"[""IT""]",{},enabled,2025-01-01,1,2025-05-15,2025-05-21,35,2,{},3,0,{},16,0,{},5,0,{},0,2025-05-21
Weekly,2025-05-15,2025-05-21,test123,user-003,Carol White,carol.white@example.com,team_member,standard-user,"[""marketing""]",{},enabled,2025-02-01,1,2025-05-15,2025-05-21,17,3,{},1,0,{},7,0,{},2,0,{},0,2025-05-21
Weekly,2025-05-15,2025-05-21,test123,user-004,David Brown,david.brown@example.com,team_member,standard-user,"[""sales""]",{},enabled,2025-01-15,1,2025-05-15,2025-05-21,29,4,{},3,0,{},15,0,{},5,0,{},1,2025-05-21
Weekly,2025-05-15,2025-05-21,test123,user-005,Emma Davis,emma.davis@example.com,team_member,standard-user,"[""HR""]",{},enabled,2025-03-01,1,2025-05-15,2025-05-21,22,5,{},1,0,{},10,0,{},3,0,{},0,2025-05-21
Weekly,2025-05-22,2025-05-28,test123,user-001,Alice Johnson,alice.johnson@example.com,team_member,standard-user,"[""finance""]",{},enabled,2025-01-01,1,2025-05-22,2025-05-28,25,1,{},2,0,{},13,0,{},3,0,{},0,2025-05-28
Weekly,2025-05-22,2025-05-28,test123,user-002,Bob Smith,bob.smith@example.com,team_member,standard-user,"[""IT""]",{},enabled,2025-01-01,1,2025-05-22,2025-05-28,30,2,{},2,0,{},17,0,{},5,0,{},0,2025-05-28
Weekly,2025-05-22,2025-05-28,test123,user-003,Carol White,carol.white@example.com,team_member,standard-user,"[""marketing""]",{},enabled,2025-02-01,1,2025-05-22,2025-05-28,15,3,{},0,0,{},5,0,{},3,0,{},0,2025-05-28
Weekly,2025-05-22,2025-05-28,test123,user-004,David Brown,david.brown@example.com,team_member,standard-user,"[""sales""]",{},enabled,2025-01-15,1,2025-05-22,2025-05-28,28,4,{},3,0,{},15,0,{},4,0,{},0,2025-05-28
Weekly,2025-05-22,2025-05-28,test123,user-005,Emma Davis,emma.davis@example.com,team_member,standard-user,"[""HR""]",{},enabled,2025-03-01,1,2025-05-22,2025-05-27,21,5,{},1,0,{},10,0,{},3,0,{},0,2025-05-27
